,Date,close,MACD^STOCH,CCI^STOCH,MA5&MA10^STOCH,MA5&MA10^MA5&MA15,MA5&MA15^STOCH,MA5&MA15^MA5&MA15,MA5&MA15^MA10&MA15,MA5&MA15^MA10&MA30,MA10&MA15^MACD,MA10&MA15^STOCH,MA10&MA15^MA5&MA30,MA10&MA30^STOCH,MA10&MA30^MA5&MA15,MA15&MA30^STOCH,MA15&MA30^MA5&MA15
247,2011-08-26,15.5796604156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,2011-08-29,15.6634216309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,2011-08-30,15.5377788544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2011-08-31,15.5796604156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,2011-09-01,15.0643892288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,2011-09-02,15.0643892288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,2011-09-05,14.649772644,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1
254,2011-09-06,14.1890878677,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
255,2011-09-07,14.5115680695,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
256,2011-09-08,14.5115680695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,2011-09-09,14.6037054062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,2011-09-13,14.2812252045,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
259,2011-09-14,13.7284040451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2011-09-15,14.1430196762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,2011-09-16,14.4194307327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,2011-09-19,14.2351570129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,2011-09-20,14.0508832932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,2011-09-21,14.3733615875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,2011-09-22,13.8666086197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,2011-09-23,13.4519929886,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
267,2011-09-26,13.4980611801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,2011-09-27,14.4194307327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,2011-09-28,14.3272943497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,2011-09-29,14.4654989243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,2011-09-30,14.3733615875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,2011-10-03,13.8205413818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,2011-10-04,13.8666086197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,2011-10-05,13.5901975632,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1
275,2011-10-06,13.8205413818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,2011-10-07,14.0048151016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,2011-10-11,14.557636261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,2011-10-12,14.4194307327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,2011-10-13,15.3868694305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,2011-10-14,15.3868694305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,2011-10-17,15.7093477249,-1,-1,-1,0,-1,0,0,0,0,-1,0,-1,0,-1,0
282,2011-10-18,15.7554159164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,2011-10-19,15.8014850616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
