Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return
459,2011-12-09,MA10&MA15^STOCH,-1,13.4519929886,11000.0,-221.0,-0.020090909090909
338,2011-12-26,MA5&MA15^MA10&MA15,1,13.4980611801,47000.0,,
262,2011-12-26,MA5&MA15^STOCH,1,13.4980611801,27000.0,,
339,2011-12-27,MA5&MA15^MA10&MA15,-1,13.8205413818,47000.0,1122.0,0.0238723404255319
263,2011-12-27,MA5&MA15^STOCH,-1,13.8205413818,27000.0,645.0,0.0238888888888888
460,2011-12-29,MA10&MA15^STOCH,1,14.2812252045,11000.0,,
461,2011-12-30,MA10&MA15^STOCH,-1,14.096950531,11000.0,-141.0,-0.0128181818181818
554,2012-01-02,MA15&MA30^STOCH,1,13.9587459564,3000.0,,
555,2012-01-03,MA15&MA30^STOCH,-1,14.4194307327,3000.0,99.0,0.033
264,2012-02-01,MA5&MA15^STOCH,1,16.0318279266,27000.0,,
340,2012-02-01,MA5&MA15^MA10&MA15,1,16.0318279266,47000.0,,
265,2012-02-02,MA5&MA15^STOCH,-1,16.5846481323,27000.0,931.0,0.0344814814814814
341,2012-02-02,MA5&MA15^MA10&MA15,-1,16.5846481323,47000.0,1620.0,0.0344680851063829
462,2012-03-21,MA10&MA15^STOCH,1,18.9341411591,11000.0,,
463,2012-03-26,MA10&MA15^STOCH,-1,18.381319046,11000.0,-321.0,-0.0291818181818181
266,2012-05-04,MA5&MA15^STOCH,1,17.0914020538,27000.0,,
342,2012-05-04,MA5&MA15^MA10&MA15,1,17.0914020538,47000.0,,
464,2012-05-07,MA10&MA15^STOCH,1,16.6767864227,11000.0,,
267,2012-05-07,MA5&MA15^STOCH,-1,16.6767864227,27000.0,-654.0,-0.0242222222222222
343,2012-05-07,MA5&MA15^MA10&MA15,-1,16.6767864227,47000.0,-1140.0,-0.0242553191489361
465,2012-05-09,MA10&MA15^STOCH,-1,16.8610591888,11000.0,121.0,0.011
268,2012-06-14,MA5&MA15^STOCH,1,13.8205413818,27000.0,,
344,2012-06-14,MA5&MA15^MA10&MA15,1,13.8205413818,47000.0,,
345,2012-06-18,MA5&MA15^MA10&MA15,-1,14.3733615875,47000.0,1879.0,0.0399787234042553
269,2012-06-18,MA5&MA15^STOCH,-1,14.3733615875,27000.0,1079.0,0.0399629629629629
466,2012-06-18,MA10&MA15^STOCH,1,14.3733615875,11000.0,,
467,2012-06-25,MA10&MA15^STOCH,-1,14.096950531,11000.0,-211.0,-0.0191818181818181
556,2012-06-27,MA15&MA30^STOCH,1,14.3733615875,3000.0,,
557,2012-06-29,MA15&MA30^STOCH,-1,14.8340473175,3000.0,96.0,0.032
346,2012-08-01,MA5&MA15^MA10&MA15,1,15.6632785797,47000.0,,
270,2012-08-01,MA5&MA15^STOCH,1,15.6632785797,27000.0,,
347,2012-08-03,MA5&MA15^MA10&MA15,-1,15.4329366684,47000.0,-691.0,-0.0147021276595744
271,2012-08-03,MA5&MA15^STOCH,-1,15.4329366684,27000.0,-397.0,-0.0147037037037037
468,2012-08-06,MA10&MA15^STOCH,1,15.9396896362,11000.0,,
469,2012-08-08,MA10&MA15^STOCH,-1,16.1239643097,11000.0,127.0,0.0115454545454545
348,2012-09-18,MA5&MA15^MA10&MA15,1,15.3408002853,47000.0,,
272,2012-09-18,MA5&MA15^STOCH,1,15.3408002853,27000.0,,
470,2012-09-19,MA10&MA15^STOCH,1,15.7093477249,11000.0,,
349,2012-09-19,MA5&MA15^MA10&MA15,-1,15.7093477249,47000.0,1129.0,0.0240212765957446
273,2012-09-19,MA5&MA15^STOCH,-1,15.7093477249,27000.0,648.0,0.024
