Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return,0
394.0,2010-09-24,MA10&MA15^MACD,1.0,18.0506286621,8000.0,,,
52.0,2010-09-27,CCI^STOCH,1.0,18.2181510925,17000.0,,,
395.0,2010-09-28,MA10&MA15^MACD,-1.0,18.343793869,8000.0,129.0,0.016125,
53.0,2010-09-29,CCI^STOCH,-1.0,18.5950775146,17000.0,351.0,0.0206470588235294,
396.0,2010-10-07,MA10&MA15^MACD,1.0,19.265171051,8000.0,,,
397.0,2010-10-08,MA10&MA15^MACD,-1.0,18.8463630676,8000.0,-173.0,-0.021625,
54.0,2010-10-14,CCI^STOCH,1.0,18.8463630676,17000.0,,,
280.0,2010-10-21,MA5&MA15^MA5&MA15,1.0,19.516456604,26000.0,,,
356.0,2010-10-21,MA5&MA15^MA10&MA30,1.0,19.516456604,46000.0,,,
55.0,2010-10-21,CCI^STOCH,-1.0,19.516456604,17000.0,604.0,0.0355294117647058,
398.0,2010-10-25,MA10&MA15^MACD,1.0,20.7728805542,8000.0,,,
281.0,2010-10-25,MA5&MA15^MA5&MA15,-1.0,20.7728805542,26000.0,1673.0,0.0643461538461538,
357.0,2010-10-25,MA5&MA15^MA10&MA30,-1.0,20.7728805542,46000.0,2961.0,0.0643695652173913,
399.0,2010-10-27,MA10&MA15^MACD,-1.0,21.3173313141,8000.0,209.0,0.026125,
56.0,2010-11-19,CCI^STOCH,1.0,20.8147602081,17000.0,,,
57.0,2010-11-22,CCI^STOCH,-1.0,21.9036617279,17000.0,889.0,0.0522941176470588,
282.0,2010-11-23,MA5&MA15^MA5&MA15,1.0,22.2805900574,26000.0,,,
358.0,2010-11-23,MA5&MA15^MA10&MA30,1.0,22.2805900574,46000.0,,,
283.0,2010-11-25,MA5&MA15^MA5&MA15,-1.0,22.0293045044,26000.0,-293.0,-0.0112692307692307,
359.0,2010-11-25,MA5&MA15^MA10&MA30,-1.0,22.0293045044,46000.0,-518.0,-0.0112608695652173,
400.0,2010-11-25,MA10&MA15^MACD,1.0,22.0293045044,8000.0,,,
401.0,2010-11-26,MA10&MA15^MACD,-1.0,21.2335681915,8000.0,-288.0,-0.036,
58.0,2010-12-10,CCI^STOCH,1.0,21.861782074,17000.0,,,
360.0,2010-12-13,MA5&MA15^MA10&MA30,1.0,22.1130657196,46000.0,,,
284.0,2010-12-13,MA5&MA15^MA5&MA15,1.0,22.1130657196,26000.0,,,
59.0,2010-12-13,CCI^STOCH,-1.0,22.1130657196,17000.0,195.0,0.0114705882352941,
402.0,2010-12-14,MA10&MA15^MACD,1.0,22.2387084961,8000.0,,,
361.0,2010-12-16,MA5&MA15^MA10&MA30,-1.0,22.6156368256,46000.0,1045.0,0.0227173913043478,
285.0,2010-12-16,MA5&MA15^MA5&MA15,-1.0,22.6156368256,26000.0,590.0,0.0226923076923076,
403.0,2010-12-16,MA10&MA15^MACD,-1.0,22.6156368256,8000.0,135.0,0.016875,
60.0,2011-01-26,CCI^STOCH,1.0,25.128484726,17000.0,,,
61.0,2011-01-27,CCI^STOCH,-1.0,25.5472927094,17000.0,283.0,0.0166470588235294,
286.0,2011-01-28,MA5&MA15^MA5&MA15,1.0,25.5472927094,26000.0,,,
362.0,2011-01-28,MA5&MA15^MA10&MA30,1.0,25.5472927094,46000.0,,,
287.0,2011-02-08,MA5&MA15^MA5&MA15,-1.0,25.0447235107,26000.0,-511.0,-0.0196538461538461,
363.0,2011-02-08,MA5&MA15^MA10&MA30,-1.0,25.0447235107,46000.0,-904.0,-0.0196521739130434,
404.0,2011-02-11,MA10&MA15^MACD,1.0,23.5370140076,8000.0,,,
405.0,2011-02-14,MA10&MA15^MACD,-1.0,24.7934379578,8000.0,427.0,0.053375,
62.0,2011-03-23,CCI^STOCH,1.0,20.5634765625,17000.0,,,
63.0,2011-03-24,CCI^STOCH,-1.0,20.8566417694,17000.0,242.0,0.014235294117647,
364.0,2011-03-25,MA5&MA15^MA10&MA30,1.0,20.689119339,46000.0,,,
288.0,2011-03-25,MA5&MA15^MA5&MA15,1.0,20.689119339,26000.0,,,
365.0,2011-03-28,MA5&MA15^MA10&MA30,-1.0,20.4797153473,46000.0,-465.0,-0.0101086956521739,
289.0,2011-03-28,MA5&MA15^MA5&MA15,-1.0,20.4797153473,26000.0,-263.0,-0.0101153846153846,
406.0,2011-03-30,MA10&MA15^MACD,1.0,20.7728805542,8000.0,,,
407.0,2011-03-31,MA10&MA15^MACD,-1.0,20.4797153473,8000.0,-112.0,-0.014,
64.0,2011-05-31,CCI^STOCH,1.0,22.4062328339,17000.0,,,
65.0,2011-06-01,CCI^STOCH,-1.0,22.0711860657,17000.0,-254.0,-0.0149411764705882,
