Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return,0,1,2,3,4,5,6
197.0,2011-04-11,MA5&MA10^MA5&MA15,-1.0,21.0241641998,18000.0,-522.0,-0.029,,,,,,,
198.0,2011-04-22,MA5&MA10^MA5&MA15,1.0,22.0711860657,18000.0,,,,,,,,,
199.0,2011-04-25,MA5&MA10^MA5&MA15,-1.0,23.5788955688,18000.0,1229.0,0.0682777777777777,,,,,,,
200.0,2011-05-09,MA5&MA10^MA5&MA15,1.0,23.6626567841,18000.0,,,,,,,,,
201.0,2011-05-10,MA5&MA10^MA5&MA15,-1.0,23.3694915771,18000.0,-223.0,-0.0123888888888888,,,,,,,
202.0,2011-06-01,MA5&MA10^MA5&MA15,1.0,22.0711860657,18000.0,,,,,,,,,
290.0,2011-06-02,MA5&MA15^MA5&MA15,1.0,21.4429721832,14000.000000000002,,,,,,,,,
203.0,2011-06-02,MA5&MA10^MA5&MA15,-1.0,21.4429721832,18000.0,-512.0,-0.0284444444444444,,,,,,,
252.0,2011-06-02,MA5&MA15^STOCH,1.0,21.4429721832,12000.0,,,,,,,,,
253.0,2011-06-03,MA5&MA15^STOCH,-1.0,21.1916885376,12000.0,-140.0,-0.0116666666666666,,,,,,,
291.0,2011-06-03,MA5&MA15^MA5&MA15,-1.0,21.1916885376,14000.000000000002,-164.0,-0.0117142857142857,,,,,,,
492.0,2011-06-09,MA10&MA15^MA5&MA30,1.0,21.0241641998,27500.000000000004,,,,,,,,,
493.0,2011-06-13,MA10&MA15^MA5&MA30,-1.0,20.2284297943,27500.000000000004,-1040.0,-0.0378181818181818,,,,,,,
204.0,2011-06-30,MA5&MA10^MA5&MA15,1.0,19.3489322662,18000.0,,,,,,,,,
292.0,2011-07-04,MA5&MA15^MA5&MA15,1.0,19.1814098358,14000.000000000002,,,,,,,,,
254.0,2011-07-04,MA5&MA15^STOCH,1.0,19.1814098358,12000.0,,,,,,,,,
255.0,2011-07-05,MA5&MA15^STOCH,-1.0,18.8463630676,12000.0,-209.0,-0.0174166666666666,,,,,,,
205.0,2011-07-05,MA5&MA10^MA5&MA15,-1.0,18.8463630676,18000.0,-467.0,-0.0259444444444444,,,,,,,
293.0,2011-07-05,MA5&MA15^MA5&MA15,-1.0,18.8463630676,14000.000000000002,-244.0,-0.0174285714285714,,,,,,,
494.0,2011-07-07,MA10&MA15^MA5&MA30,1.0,18.8044834137,27500.000000000004,,,,,,,,,
495.0,2011-07-11,MA10&MA15^MA5&MA30,-1.0,19.1814098358,27500.000000000004,551.0,0.0200363636363636,,,,,,,
206.0,2011-08-17,MA5&MA10^MA5&MA15,1.0,15.5796604156,18000.0,,,,,,,,,
207.0,2011-08-18,MA5&MA10^MA5&MA15,-1.0,15.2027330399,18000.0,-435.0,-0.0241666666666666,,,,,,,
256.0,2011-08-23,MA5&MA15^STOCH,1.0,15.7471828461,12000.0,,,,,,,,,
294.0,2011-08-23,MA5&MA15^MA5&MA15,1.0,15.7471828461,14000.000000000002,,,,,,,,,
295.0,2011-08-24,MA5&MA15^MA5&MA15,-1.0,15.4121370316,14000.000000000002,-297.0,-0.0212142857142857,,,,,,,
496.0,2011-08-24,MA10&MA15^MA5&MA30,1.0,15.4121370316,27500.000000000004,,,,,,,,,
257.0,2011-08-24,MA5&MA15^STOCH,-1.0,15.4121370316,12000.0,-255.0,-0.02125,,,,,,,
497.0,2011-08-26,MA10&MA15^MA5&MA30,-1.0,15.5796604156,27500.000000000004,298.0,0.0108363636363636,,,,,,,
296.0,2011-09-30,MA5&MA15^MA5&MA15,1.0,14.3733615875,14000.000000000002,,,,,,,,,
258.0,2011-09-30,MA5&MA15^STOCH,1.0,14.3733615875,12000.0,,,,,,,,,
208.0,2011-09-30,MA5&MA10^MA5&MA15,1.0,14.3733615875,18000.0,,,,,,,,,
297.0,2011-10-03,MA5&MA15^MA5&MA15,-1.0,13.8205413818,14000.000000000002,-538.0,-0.0384285714285714,,,,,,,
259.0,2011-10-03,MA5&MA15^STOCH,-1.0,13.8205413818,12000.0,-461.0,-0.0384166666666666,,,,,,,
209.0,2011-10-03,MA5&MA10^MA5&MA15,-1.0,13.8205413818,18000.0,-692.0,-0.0384444444444444,,,,,,,
498.0,2011-10-07,MA10&MA15^MA5&MA30,1.0,14.0048151016,27500.000000000004,,,,,,,,,
499.0,2011-10-11,MA10&MA15^MA5&MA30,-1.0,14.557636261,27500.000000000004,1085.0,0.0394545454545454,,,,,,,
260.0,2011-10-12,MA5&MA15^STOCH,1.0,14.4194307327,12000.0,,,,,,,,,
298.0,2011-10-12,MA5&MA15^MA5&MA15,1.0,14.4194307327,14000.000000000002,,,,,,,,,
299.0,2011-10-13,MA5&MA15^MA5&MA15,-1.0,15.3868694305,14000.000000000002,939.0,0.0670714285714285,,,,,,,
210.0,2011-10-13,MA5&MA10^MA5&MA15,1.0,15.3868694305,18000.0,,,,,,,,,
261.0,2011-10-13,MA5&MA15^STOCH,-1.0,15.3868694305,12000.0,805.0,0.0670833333333333,,,,,,,
211.0,2011-10-17,MA5&MA10^MA5&MA15,-1.0,15.7093477249,18000.0,377.0,0.0209444444444444,,,,,,,
212.0,2011-11-02,MA5&MA10^MA5&MA15,1.0,15.2486629486,18000.0,,,,,,,,,
213.0,2011-11-03,MA5&MA10^MA5&MA15,-1.0,15.0183210373,18000.0,-271.0,-0.0150555555555555,,,,,,,
214.0,2011-12-01,MA5&MA10^MA5&MA15,1.0,13.9126777649,18000.0,,,,,,,,,
215.0,2011-12-02,MA5&MA10^MA5&MA15,-1.0,13.6362667084,18000.0,-357.0,-0.0198333333333333,,,,,,,
500.0,2011-12-08,MA10&MA15^MA5&MA30,1.0,13.7284040451,27500.000000000004,,,,,,,,,
501.0,2011-12-09,MA10&MA15^MA5&MA30,-1.0,13.4519929886,27500.000000000004,-553.0,-0.0201090909090909,,,,,,,
262.0,2011-12-26,MA5&MA15^STOCH,1.0,13.4980611801,12000.0,,,,,,,,,
216.0,2011-12-26,MA5&MA10^MA5&MA15,1.0,13.4980611801,18000.0,,,,,,,,,
300.0,2011-12-26,MA5&MA15^MA5&MA15,1.0,13.4980611801,14000.000000000002,,,,,,,,,
263.0,2011-12-27,MA5&MA15^STOCH,-1.0,13.8205413818,12000.0,286.0,0.0238333333333333,,,,,,,
217.0,2011-12-27,MA5&MA10^MA5&MA15,-1.0,13.8205413818,18000.0,430.0,0.0238888888888888,,,,,,,
301.0,2011-12-27,MA5&MA15^MA5&MA15,-1.0,13.8205413818,14000.000000000002,334.0,0.0238571428571428,,,,,,,
502.0,2011-12-29,MA10&MA15^MA5&MA30,1.0,14.2812252045,27500.000000000004,,,,,,,,,
503.0,2011-12-30,MA10&MA15^MA5&MA30,-1.0,14.096950531,27500.000000000004,-354.0,-0.0128727272727272,,,,,,,
264.0,2012-02-01,MA5&MA15^STOCH,1.0,16.0318279266,12000.0,,,,,,,,,
302.0,2012-02-01,MA5&MA15^MA5&MA15,1.0,16.0318279266,14000.000000000002,,,,,,,,,
265.0,2012-02-02,MA5&MA15^STOCH,-1.0,16.5846481323,12000.0,413.0,0.0344166666666666,,,,,,,
218.0,2012-02-02,MA5&MA10^MA5&MA15,1.0,16.5846481323,18000.0,,,,,,,,,
303.0,2012-02-02,MA5&MA15^MA5&MA15,-1.0,16.5846481323,14000.000000000002,482.0,0.0344285714285714,,,,,,,
219.0,2012-02-03,MA5&MA10^MA5&MA15,-1.0,17.0453338623,18000.0,500.0,0.0277777777777777,,,,,,,
