Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return
394,2010-09-24,MA10&MA15^MACD,1,18.0506286621,27000.0,,
52,2010-09-27,CCI^STOCH,1,18.2181510925,3000.0,,
395,2010-09-28,MA10&MA15^MACD,-1,18.343793869,27000.0,438.0,0.0162222222222222
53,2010-09-29,CCI^STOCH,-1,18.5950775146,3000.0,62.0,0.0206666666666666
396,2010-10-07,MA10&MA15^MACD,1,19.265171051,27000.0,,
397,2010-10-08,MA10&MA15^MACD,-1,18.8463630676,27000.0,-586.0,-0.0217037037037037
54,2010-10-14,CCI^STOCH,1,18.8463630676,3000.0,,
0,2010-10-21,MACD^STOCH,1,19.516456604,47000.0,,
55,2010-10-21,CCI^STOCH,-1,19.516456604,3000.0,106.0,0.0353333333333333
1,2010-10-25,MACD^STOCH,-1,20.7728805542,47000.0,3025.0,0.0643617021276595
398,2010-10-25,MA10&MA15^MACD,1,20.7728805542,27000.0,,
399,2010-10-27,MA10&MA15^MACD,-1,21.3173313141,27000.0,707.0,0.0261851851851851
56,2010-11-19,CCI^STOCH,1,20.8147602081,3000.0,,
57,2010-11-22,CCI^STOCH,-1,21.9036617279,3000.0,156.0,0.052
2,2010-11-23,MACD^STOCH,1,22.2805900574,47000.0,,
3,2010-11-25,MACD^STOCH,-1,22.0293045044,47000.0,-530.0,-0.0112765957446808
400,2010-11-25,MA10&MA15^MACD,1,22.0293045044,27000.0,,
401,2010-11-26,MA10&MA15^MACD,-1,21.2335681915,27000.0,-975.0,-0.0361111111111111
560,2010-12-03,MA15&MA30^MA5&MA15,1,21.3592128754,11000.0,,
561,2010-12-06,MA15&MA30^MA5&MA15,-1,21.610496521,11000.0,129.0,0.0117272727272727
58,2010-12-10,CCI^STOCH,1,21.861782074,3000.0,,
59,2010-12-13,CCI^STOCH,-1,22.1130657196,3000.0,34.0,0.0113333333333333
402,2010-12-14,MA10&MA15^MACD,1,22.2387084961,27000.0,,
4,2010-12-14,MACD^STOCH,1,22.2387084961,47000.0,,
403,2010-12-16,MA10&MA15^MACD,-1,22.6156368256,27000.0,457.0,0.0169259259259259
5,2010-12-16,MACD^STOCH,-1,22.6156368256,47000.0,796.0,0.0169361702127659
60,2011-01-26,CCI^STOCH,1,25.128484726,3000.0,,
61,2011-01-27,CCI^STOCH,-1,25.5472927094,3000.0,49.0,0.0163333333333333
404,2011-02-11,MA10&MA15^MACD,1,23.5370140076,27000.0,,
405,2011-02-14,MA10&MA15^MACD,-1,24.7934379578,27000.0,1441.0,0.0533703703703703
6,2011-03-22,MACD^STOCH,1,20.6053562164,47000.0,,
62,2011-03-23,CCI^STOCH,1,20.5634765625,3000.0,,
7,2011-03-24,MACD^STOCH,-1,20.8566417694,47000.0,573.0,0.0121914893617021
63,2011-03-24,CCI^STOCH,-1,20.8566417694,3000.0,42.0,0.014
406,2011-03-30,MA10&MA15^MACD,1,20.7728805542,27000.0,,
407,2011-03-31,MA10&MA15^MACD,-1,20.4797153473,27000.0,-381.0,-0.0141111111111111
562,2011-04-14,MA15&MA30^MA5&MA15,1,21.6942577362,11000.0,,
563,2011-04-15,MA15&MA30^MA5&MA15,-1,21.1079273224,11000.0,-297.0,-0.027
8,2011-04-21,MACD^STOCH,1,21.7361392975,47000.0,,
9,2011-04-22,MACD^STOCH,-1,22.0711860657,47000.0,724.0,0.0154042553191489
64,2011-05-31,CCI^STOCH,1,22.4062328339,3000.0,,
65,2011-06-01,CCI^STOCH,-1,22.0711860657,3000.0,-44.0,-0.0146666666666666
408,2011-06-09,MA10&MA15^MACD,1,21.0241641998,27000.0,,
409,2011-06-13,MA10&MA15^MACD,-1,20.2284297943,27000.0,-1021.0,-0.0378148148148148
10,2011-06-30,MACD^STOCH,1,19.3489322662,47000.0,,
66,2011-07-01,CCI^STOCH,1,19.4326953888,3000.0,,
67,2011-07-04,CCI^STOCH,-1,19.1814098358,3000.0,-38.0,-0.0126666666666666
11,2011-07-05,MACD^STOCH,-1,18.8463630676,47000.0,-1220.0,-0.0259574468085106
410,2011-07-07,MA10&MA15^MACD,1,18.8044834137,27000.0,,
411,2011-07-11,MA10&MA15^MACD,-1,19.1814098358,27000.0,541.0,0.020037037037037
68,2011-07-11,CCI^STOCH,1,19.1814098358,3000.0,,
69,2011-07-12,CCI^STOCH,-1,18.6788406372,3000.0,-78.0,-0.026
12,2011-08-16,MACD^STOCH,1,15.3283748627,47000.0,,
13,2011-08-17,MACD^STOCH,-1,15.5796604156,47000.0,770.0,0.0163829787234042
70,2011-08-17,CCI^STOCH,1,15.5796604156,3000.0,,
71,2011-08-18,CCI^STOCH,-1,15.2027330399,3000.0,-72.0,-0.024
72,2011-08-23,CCI^STOCH,1,15.7471828461,3000.0,,
73,2011-08-24,CCI^STOCH,-1,15.4121370316,3000.0,-63.0,-0.021
412,2011-08-24,MA10&MA15^MACD,1,15.4121370316,27000.0,,
413,2011-08-26,MA10&MA15^MACD,-1,15.5796604156,27000.0,293.0,0.0108518518518518
14,2011-09-09,MACD^STOCH,1,14.6037054062,47000.0,,
15,2011-09-13,MACD^STOCH,-1,14.2812252045,47000.0,-1037.0,-0.022063829787234
16,2011-09-19,MACD^STOCH,1,14.2351570129,47000.0,,
17,2011-09-20,MACD^STOCH,-1,14.0508832932,47000.0,-608.0,-0.0129361702127659
74,2011-09-27,CCI^STOCH,1,14.4194307327,3000.0,,
18,2011-09-27,MACD^STOCH,1,14.4194307327,47000.0,,
19,2011-10-03,MACD^STOCH,-1,13.8205413818,47000.0,-1952.0,-0.041531914893617
75,2011-10-03,CCI^STOCH,-1,13.8205413818,3000.0,-124.0,-0.0413333333333333
414,2011-10-07,MA10&MA15^MACD,1,14.0048151016,27000.0,,
76,2011-10-07,CCI^STOCH,1,14.0048151016,3000.0,,
415,2011-10-11,MA10&MA15^MACD,-1,14.557636261,27000.0,1065.0,0.0394444444444444
77,2011-10-11,CCI^STOCH,-1,14.557636261,3000.0,118.0,0.0393333333333333
20,2011-10-14,MACD^STOCH,1,15.3868694305,47000.0,,
21,2011-10-17,MACD^STOCH,-1,15.7093477249,47000.0,985.0,0.0209574468085106
564,2011-10-17,MA15&MA30^MA5&MA15,1,15.7093477249,11000.0,,
565,2011-10-20,MA15&MA30^MA5&MA15,-1,15.4790058136,11000.0,-161.0,-0.0146363636363636
78,2011-10-27,CCI^STOCH,1,15.4790058136,3000.0,,
79,2011-10-31,CCI^STOCH,-1,15.2947320938,3000.0,-35.0,-0.0116666666666666
80,2011-11-04,CCI^STOCH,1,15.5711431503,3000.0,,
81,2011-11-07,CCI^STOCH,-1,15.2947320938,3000.0,-53.0,-0.0176666666666666
22,2011-12-05,MACD^STOCH,1,13.6362667084,47000.0,,
23,2011-12-06,MACD^STOCH,-1,13.4059238434,47000.0,-793.0,-0.0168723404255319
416,2011-12-08,MA10&MA15^MACD,1,13.7284040451,27000.0,,
417,2011-12-09,MA10&MA15^MACD,-1,13.4519929886,27000.0,-543.0,-0.0201111111111111
82,2011-12-12,CCI^STOCH,1,13.5441303253,3000.0,,
83,2011-12-14,CCI^STOCH,-1,13.4059238434,3000.0,-30.0,-0.01
24,2011-12-21,MACD^STOCH,1,13.5441303253,47000.0,,
84,2011-12-21,CCI^STOCH,1,13.5441303253,3000.0,,
25,2011-12-22,MACD^STOCH,-1,13.2216510773,47000.0,-1119.0,-0.0238085106382978
