,Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return
0,211,2010-10-21,MA5&MA15^MA10&MA15,1,19.516456604,11000.0,,
1,143,2010-10-21,MA5&MA15^STOCH,1,19.516456604,10500.0,,
2,0,2010-10-21,MACD^STOCH,1,19.516456604,20000.0,,
3,144,2010-10-28,MA5&MA15^STOCH,-1,21.7361392975,10500.0,1194.0,0.1137142857142857
4,1,2010-10-28,MACD^STOCH,-1,21.7361392975,20000.0,2274.0,0.1137
5,212,2010-11-12,MA5&MA15^MA10&MA15,-1,19.8933849335,11000.0,212.0,0.0192727272727272
6,213,2010-11-23,MA5&MA15^MA10&MA15,1,22.2805900574,11000.0,,
7,2,2010-11-23,MACD^STOCH,1,22.2805900574,20000.0,,
8,145,2010-11-23,MA5&MA15^STOCH,1,22.2805900574,10500.0,,
9,146,2010-11-25,MA5&MA15^STOCH,-1,22.0293045044,10500.0,-118.0,-0.0112380952380952
10,3,2010-11-25,MACD^STOCH,-1,22.0293045044,20000.0,-225.0,-0.01125
11,214,2010-12-08,MA5&MA15^MA10&MA15,-1,21.3592128754,11000.0,-454.0,-0.0412727272727272
12,215,2010-12-13,MA5&MA15^MA10&MA15,1,22.1130657196,11000.0,,
13,147,2010-12-13,MA5&MA15^STOCH,1,22.1130657196,10500.0,,
14,4,2010-12-14,MACD^STOCH,1,22.2387084961,20000.0,,
15,5,2011-01-14,MACD^STOCH,-1,25.0447235107,20000.0,2523.0,0.12615
16,148,2011-01-14,MA5&MA15^STOCH,-1,25.0447235107,10500.0,1392.0,0.1325714285714285
17,216,2011-01-17,MA5&MA15^MA10&MA15,-1,23.955821991,11000.0,916.0,0.0832727272727272
18,149,2011-01-28,MA5&MA15^STOCH,1,25.5472927094,10500.0,,
19,217,2011-01-28,MA5&MA15^MA10&MA15,1,25.5472927094,11000.0,,
20,150,2011-02-08,MA5&MA15^STOCH,-1,25.0447235107,10500.0,-206.0,-0.0196190476190476
21,218,2011-02-17,MA5&MA15^MA10&MA15,-1,22.783159256,11000.0,-1190.0,-0.1081818181818181
22,6,2011-03-22,MACD^STOCH,1,20.6053562164,20000.0,,
23,7,2011-03-24,MACD^STOCH,-1,20.8566417694,20000.0,243.0,0.01215
24,219,2011-03-25,MA5&MA15^MA10&MA15,1,20.689119339,11000.0,,
25,151,2011-03-25,MA5&MA15^STOCH,1,20.689119339,10500.0,,
26,342,2011-04-13,MA10&MA30^STOCH,1,21.4848537445,22500.0,,
27,8,2011-04-21,MACD^STOCH,1,21.7361392975,20000.0,,
28,152,2011-04-27,MA5&MA15^STOCH,-1,22.9088020325,10500.0,1126.0,0.1072380952380952
29,343,2011-04-27,MA10&MA30^STOCH,-1,22.9088020325,22500.0,1491.0,0.0662666666666666
30,9,2011-04-27,MACD^STOCH,-1,22.9088020325,20000.0,1078.0,0.0539
31,220,2011-05-20,MA5&MA15^MA10&MA15,-1,21.3592128754,11000.0,356.0,0.0323636363636363
32,153,2011-06-02,MA5&MA15^STOCH,1,21.4429721832,10500.0,,
33,221,2011-06-02,MA5&MA15^MA10&MA15,1,21.4429721832,11000.0,,
34,222,2011-06-13,MA5&MA15^MA10&MA15,-1,20.2284297943,11000.0,-623.0,-0.0566363636363636
35,10,2011-06-30,MACD^STOCH,1,19.3489322662,20000.0,,
36,223,2011-07-04,MA5&MA15^MA10&MA15,1,19.1814098358,11000.0,,
37,224,2011-07-14,MA5&MA15^MA10&MA15,-1,17.5061779022,11000.0,-960.0,-0.0872727272727272
