,Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return
32,0,2010-09-27,CCI^STOCH,1,18.2181510925,42500.0,,
33,0,2010-10-28,CCI^STOCH,-1,21.7361392975,42500.0,8206.0,0.1930823529411764
34,0,2010-11-19,CCI^STOCH,1,20.8147602081,42500.0,,
35,0,2010-11-25,CCI^STOCH,-1,22.0293045044,42500.0,2479.0,0.0583294117647058
36,0,2010-12-10,CCI^STOCH,1,21.861782074,42500.0,,
37,0,2011-01-14,CCI^STOCH,-1,25.0447235107,42500.0,6187.0,0.1455764705882353
38,0,2011-01-26,CCI^STOCH,1,25.128484726,42500.0,,
39,0,2011-02-08,CCI^STOCH,-1,25.0447235107,42500.0,-141.0,-0.0033176470588235
40,0,2011-03-23,CCI^STOCH,1,20.5634765625,42500.0,,
41,0,2011-03-24,CCI^STOCH,-1,20.8566417694,42500.0,605.0,0.014235294117647
42,0,2011-05-31,CCI^STOCH,1,22.4062328339,42500.0,,
43,0,2011-06-02,CCI^STOCH,-1,21.4429721832,42500.0,-1827.0,-0.0429882352941176
44,0,2011-07-01,CCI^STOCH,1,19.4326953888,42500.0,,
45,0,2011-08-18,CCI^STOCH,-1,15.2027330399,42500.0,-9251.0,-0.2176705882352941
46,0,2011-08-23,CCI^STOCH,1,15.7471828461,42500.0,,
47,0,2011-10-17,CCI^STOCH,-1,15.7093477249,42500.0,-102.0,-0.0024
48,0,2011-10-27,CCI^STOCH,1,15.4790058136,42500.0,,
49,0,2011-12-28,CCI^STOCH,-1,14.3272943497,42500.0,-3162.0,-0.0744
50,0,2012-01-30,CCI^STOCH,1,14.9722518921,42500.0,,
51,0,2012-02-08,CCI^STOCH,-1,17.598154068,42500.0,7453.0,0.1753647058823529
52,0,2012-03-08,CCI^STOCH,1,19.2105522156,42500.0,,
53,0,2012-06-18,CCI^STOCH,-1,14.3733615875,42500.0,-10701.0,-0.2517882352941176
54,0,2012-07-31,CCI^STOCH,1,15.2025947571,42500.0,,
55,0,2012-08-03,CCI^STOCH,-1,15.4329366684,42500.0,643.0,0.0151294117647058
56,0,2012-09-10,CCI^STOCH,1,15.2025947571,42500.0,,
57,0,2012-10-19,CCI^STOCH,-1,14.649772644,42500.0,-1545.0,-0.0363529411764705
58,0,2012-11-01,CCI^STOCH,1,14.649772644,42500.0,,
59,0,2012-11-08,CCI^STOCH,-1,15.0183210373,42500.0,1069.0,0.0251529411764705
60,0,2012-11-23,CCI^STOCH,1,14.7419099808,42500.0,,
61,0,2012-11-29,CCI^STOCH,-1,15.4329366684,42500.0,1992.0,0.0468705882352941
62,0,2012-12-19,CCI^STOCH,1,16.3082370758,42500.0,,
172,0,2010-10-21,MA5&MA15^MA5&MA15,1,19.516456604,13500.0,,
173,0,2010-11-11,MA5&MA15^MA5&MA15,-1,20.2703113556,13500.0,521.0,0.0385925925925925
174,0,2010-11-23,MA5&MA15^MA5&MA15,1,22.2805900574,13500.0,,
175,0,2010-12-09,MA5&MA15^MA5&MA15,-1,21.6523761749,13500.0,-380.0,-0.0281481481481481
176,0,2010-12-13,MA5&MA15^MA5&MA15,1,22.1130657196,13500.0,,
177,0,2011-01-18,MA5&MA15^MA5&MA15,-1,24.7515563965,13500.0,1610.0,0.1192592592592592
178,0,2011-01-28,MA5&MA15^MA5&MA15,1,25.5472927094,13500.0,,
179,0,2011-02-14,MA5&MA15^MA5&MA15,-1,24.7934379578,13500.0,-398.0,-0.0294814814814814
180,0,2011-03-25,MA5&MA15^MA5&MA15,1,20.689119339,13500.0,,
181,0,2011-05-16,MA5&MA15^MA5&MA15,-1,22.2805900574,13500.0,1038.0,0.0768888888888889
182,0,2011-06-02,MA5&MA15^MA5&MA15,1,21.4429721832,13500.0,,
183,0,2011-06-07,MA5&MA15^MA5&MA15,-1,21.1498088837,13500.0,-184.0,-0.0136296296296296
184,0,2011-07-04,MA5&MA15^MA5&MA15,1,19.1814098358,13500.0,,
185,0,2011-07-07,MA5&MA15^MA5&MA15,-1,18.8044834137,13500.0,-265.0,-0.0196296296296296
186,0,2011-08-23,MA5&MA15^MA5&MA15,1,15.7471828461,13500.0,,
187,0,2011-09-05,MA5&MA15^MA5&MA15,-1,14.649772644,13500.0,-940.0,-0.0696296296296296
188,0,2011-09-30,MA5&MA15^MA5&MA15,1,14.3733615875,13500.0,,
189,0,2011-10-05,MA5&MA15^MA5&MA15,-1,13.5901975632,13500.0,-735.0,-0.0544444444444444
190,0,2011-10-12,MA5&MA15^MA5&MA15,1,14.4194307327,13500.0,,
191,0,2011-10-31,MA5&MA15^MA5&MA15,-1,15.2947320938,13500.0,819.0,0.0606666666666666
192,0,2011-12-26,MA5&MA15^MA5&MA15,1,13.4980611801,13500.0,,
193,0,2012-01-31,MA5&MA15^MA5&MA15,-1,15.2486629486,13500.0,1750.0,0.1296296296296296
194,0,2012-02-01,MA5&MA15^MA5&MA15,1,16.0318279266,13500.0,,
195,0,2012-03-20,MA5&MA15^MA5&MA15,-1,18.381319046,13500.0,1978.0,0.1465185185185185
196,0,2012-05-04,MA5&MA15^MA5&MA15,1,17.0914020538,13500.0,,
197,0,2012-05-15,MA5&MA15^MA5&MA15,-1,14.9261837006,13500.0,-1710.0,-0.1266666666666666
198,0,2012-06-14,MA5&MA15^MA5&MA15,1,13.8205413818,13500.0,,
199,0,2012-07-24,MA5&MA15^MA5&MA15,-1,14.649772644,13500.0,809.0,0.0599259259259259
200,0,2012-08-01,MA5&MA15^MA5&MA15,1,15.6632785797,13500.0,,
201,0,2012-08-21,MA5&MA15^MA5&MA15,-1,15.4790058136,13500.0,-158.0,-0.0117037037037037
202,0,2012-09-18,MA5&MA15^MA5&MA15,1,15.3408002853,13500.0,,
203,0,2012-09-27,MA5&MA15^MA5&MA15,-1,14.3733615875,13500.0,-851.0,-0.063037037037037
204,0,2012-10-18,MA5&MA15^MA5&MA15,1,14.6037054062,13500.0,,
205,0,2012-10-26,MA5&MA15^MA5&MA15,-1,13.7744722366,13500.0,-766.0,-0.0567407407407407
206,0,2012-11-05,MA5&MA15^MA5&MA15,1,15.2025947571,13500.0,,
207,0,2012-11-15,MA5&MA15^MA5&MA15,-1,14.2812252045,13500.0,-818.0,-0.0605925925925925
208,0,2012-11-27,MA5&MA15^MA5&MA15,1,15.2947320938,13500.0,,
209,0,2012-12-21,MA5&MA15^MA5&MA15,-1,15.5711431503,13500.0,243.0,0.018
210,0,2012-12-28,MA5&MA15^MA5&MA15,1,15.9857587814,13500.0,,
211,0,2010-10-21,MA5&MA15^MA10&MA15,1,19.516456604,10000.0,,
212,0,2010-11-12,MA5&MA15^MA10&MA15,-1,19.8933849335,10000.0,193.0,0.0193
213,0,2010-11-23,MA5&MA15^MA10&MA15,1,22.2805900574,10000.0,,
214,0,2010-12-08,MA5&MA15^MA10&MA15,-1,21.3592128754,10000.0,-413.0,-0.0413
215,0,2010-12-13,MA5&MA15^MA10&MA15,1,22.1130657196,10000.0,,
216,0,2011-01-17,MA5&MA15^MA10&MA15,-1,23.955821991,10000.0,833.0,0.0833
217,0,2011-01-28,MA5&MA15^MA10&MA15,1,25.5472927094,10000.0,,
218,0,2011-02-17,MA5&MA15^MA10&MA15,-1,22.783159256,10000.0,-1081.0,-0.1081
219,0,2011-03-25,MA5&MA15^MA10&MA15,1,20.689119339,10000.0,,
220,0,2011-05-20,MA5&MA15^MA10&MA15,-1,21.3592128754,10000.0,323.0,0.0323
221,0,2011-06-02,MA5&MA15^MA10&MA15,1,21.4429721832,10000.0,,
222,0,2011-06-13,MA5&MA15^MA10&MA15,-1,20.2284297943,10000.0,-566.0,-0.0566
223,0,2011-07-04,MA5&MA15^MA10&MA15,1,19.1814098358,10000.0,,
224,0,2011-07-14,MA5&MA15^MA10&MA15,-1,17.5061779022,10000.0,-873.0,-0.0873
225,0,2011-08-23,MA5&MA15^MA10&MA15,1,15.7471828461,10000.0,,
226,0,2011-09-06,MA5&MA15^MA10&MA15,-1,14.1890878677,10000.0,-989.0,-0.0989
227,0,2011-09-30,MA5&MA15^MA10&MA15,1,14.3733615875,10000.0,,
228,0,2011-11-02,MA5&MA15^MA10&MA15,-1,15.2486629486,10000.0,608.0,0.0608
229,0,2011-12-26,MA5&MA15^MA10&MA15,1,13.4980611801,10000.0,,
230,0,2012-03-16,MA5&MA15^MA10&MA15,-1,18.4734554291,10000.0,3686.0,0.3686
231,0,2012-05-04,MA5&MA15^MA10&MA15,1,17.0914020538,10000.0,,
232,0,2012-05-16,MA5&MA15^MA10&MA15,-1,14.7419099808,10000.0,-1374.0,-0.1374
233,0,2012-06-14,MA5&MA15^MA10&MA15,1,13.8205413818,10000.0,,
234,0,2012-07-20,MA5&MA15^MA10&MA15,-1,15.1565256119,10000.0,966.0,0.0966
235,0,2012-08-01,MA5&MA15^MA10&MA15,1,15.6632785797,10000.0,,
236,0,2012-08-23,MA5&MA15^MA10&MA15,-1,15.3868694305,10000.0,-176.0,-0.0176
237,0,2012-09-18,MA5&MA15^MA10&MA15,1,15.3408002853,10000.0,,
238,0,2012-10-02,MA5&MA15^MA10&MA15,-1,14.557636261,10000.0,-510.0,-0.051
239,0,2012-10-18,MA5&MA15^MA10&MA15,1,14.6037054062,10000.0,,
240,0,2012-10-30,MA5&MA15^MA10&MA15,-1,14.0048151016,10000.0,-410.0,-0.041
241,0,2012-11-05,MA5&MA15^MA10&MA15,1,15.2025947571,10000.0,,
242,0,2012-11-20,MA5&MA15^MA10&MA15,-1,14.557636261,10000.0,-424.0,-0.0424
243,0,2012-11-27,MA5&MA15^MA10&MA15,1,15.2947320938,10000.0,,
244,0,2012-12-25,MA5&MA15^MA10&MA15,-1,16.0778961182,10000.0,512.0,0.0512
245,0,2012-12-28,MA5&MA15^MA10&MA15,1,15.9857587814,10000.0,,
342,0,2011-04-13,MA10&MA30^STOCH,1,21.4848537445,9000.0,,
343,0,2011-04-27,MA10&MA30^STOCH,-1,22.9088020325,9000.0,596.0,0.0662222222222222
344,0,2011-10-14,MA10&MA30^STOCH,1,15.3868694305,9000.0,,
345,0,2011-10-17,MA10&MA30^STOCH,-1,15.7093477249,9000.0,188.0,0.0208888888888888
346,0,2011-12-30,MA10&MA30^STOCH,1,14.096950531,9000.0,,
347,0,2012-02-08,MA10&MA30^STOCH,-1,17.598154068,9000.0,2235.0,0.2483333333333333
348,0,2012-06-22,MA10&MA30^STOCH,1,14.2812252045,9000.0,,
349,0,2012-07-06,MA10&MA30^STOCH,-1,15.110458374,9000.0,522.0,0.058
350,0,2012-09-27,MA10&MA30^STOCH,1,14.3733615875,9000.0,,
351,0,2012-10-19,MA10&MA30^STOCH,-1,14.649772644,9000.0,173.0,0.0192222222222222
352,0,2012-11-07,MA10&MA30^STOCH,1,15.0183210373,9000.0,,
353,0,2012-11-08,MA10&MA30^STOCH,-1,15.0183210373,9000.0,0.0,0.0
354,0,2012-11-27,MA10&MA30^STOCH,1,15.2947320938,9000.0,,
355,0,2012-11-29,MA10&MA30^STOCH,-1,15.4329366684,9000.0,81.0,0.009
